yc,xc1,xc2,xc3,tc1,tc2
1500.266292,1.691666667,37.93010753,204.0215054,0.689,5.372
1328.336284,0.061011905,51.19196429,181.8467262,0.689,5.372
1402.908882,4.350672043,50.60752688,219.4072581,0.689,5.372
1362.552599,5.442638889,56.03472222,199.3166667,0.689,5.372
1381.318709,14.06424731,44.78091398,244.1129032,0.689,5.372
1609.262562,21.35458333,37.57916667,305.2166667,0.689,5.372
1679.565752,22.26639785,49.41532258,272.4677419,0.689,5.372
1694.946789,22.61505376,42.75537634,222.2553763,0.689,5.372
1439.699411,18.45805556,53.5,225.0458333,0.689,5.372
1282.600817,8.881451613,54.77016129,233.7217742,0.689,5.372
1300.019135,6.096666667,42.07638889,217.4472222,0.689,5.372
1606.357453,0.197043011,48.17607527,224.5537634,0.689,5.372
2303.56176,1.691666667,37.93010753,204.0215054,0.527,28.066
2015.982059,0.061011905,51.19196429,181.8467262,0.527,28.066
2212.65936,4.350672043,50.60752688,219.4072581,0.527,28.066
2138.426852,5.442638889,56.03472222,199.3166667,0.527,28.066
2291.316596,14.06424731,44.78091398,244.1129032,0.527,28.066
2592.801287,21.35458333,37.57916667,305.2166667,0.527,28.066
2697.409063,22.26639785,49.41532258,272.4677419,0.527,28.066
2742.050922,22.61505376,42.75537634,222.2553763,0.527,28.066
2359.34312,18.45805556,53.5,225.0458333,0.527,28.066
2131.629277,8.881451613,54.77016129,233.7217742,0.527,28.066
2100.003591,6.096666667,42.07638889,217.4472222,0.527,28.066
2373.654583,0.197043011,48.17607527,224.5537634,0.527,28.066
1781.578958,1.691666667,37.93010753,204.0215054,0.52,9.985
1565.191506,0.061011905,51.19196429,181.8467262,0.52,9.985
1682.702925,4.350672043,50.60752688,219.4072581,0.52,9.985
1636.303195,5.442638889,56.03472222,199.3166667,0.52,9.985
1696.938119,14.06424731,44.78091398,244.1129032,0.52,9.985
1951.508859,21.35458333,37.57916667,305.2166667,0.52,9.985
2035.996799,22.26639785,49.41532258,272.4677419,0.52,9.985
2057.569611,22.61505376,42.75537634,222.2553763,0.52,9.985
1761.758118,18.45805556,53.5,225.0458333,0.52,9.985
1581.285716,8.881451613,54.77016129,233.7217742,0.52,9.985
1579.868564,6.096666667,42.07638889,217.4472222,0.52,9.985
1875.890398,0.197043011,48.17607527,224.5537634,0.52,9.985
3220.22956,1.691666667,37.93010753,204.0215054,0.141,4.178
2810.834922,0.061011905,51.19196429,181.8467262,0.141,4.178
3144.263181,4.350672043,50.60752688,219.4072581,0.141,4.178
3059.088384,5.442638889,56.03472222,199.3166667,0.141,4.178
3347.33533,14.06424731,44.78091398,244.1129032,0.141,4.178
3766.194059,21.35458333,37.57916667,305.2166667,0.141,4.178
3965.716239,22.26639785,49.41532258,272.4677419,0.141,4.178
3985.459597,22.61505376,42.75537634,222.2553763,0.141,4.178
3466.078638,18.45805556,53.5,225.0458333,0.141,4.178
3141.38504,8.881451613,54.77016129,233.7217742,0.141,4.178
3026.349076,6.096666667,42.07638889,217.4472222,0.141,4.178
3305.865552,0.197043011,48.17607527,224.5537634,0.141,4.178
2057.100851,1.691666667,37.93010753,204.0215054,0.484,17.901
1801.855893,0.061011905,51.19196429,181.8467262,0.484,17.901
1961.023042,4.350672043,50.60752688,219.4072581,0.484,17.901
1902.029921,5.442638889,56.03472222,199.3166667,0.484,17.901
2008.251844,14.06424731,44.78091398,244.1129032,0.484,17.901
2291.139389,21.35458333,37.57916667,305.2166667,0.484,17.901
2386.39503,22.26639785,49.41532258,272.4677419,0.484,17.901
2417.517308,22.61505376,42.75537634,222.2553763,0.484,17.901
2077.350816,18.45805556,53.5,225.0458333,0.484,17.901
1873.476278,8.881451613,54.77016129,233.7217742,0.484,17.901
1855.590406,6.096666667,42.07638889,217.4472222,0.484,17.901
2139.978892,0.197043011,48.17607527,224.5537634,0.484,17.901
2985.424144,1.691666667,37.93010753,204.0215054,0.181,12.944
2604.056865,0.061011905,51.19196429,181.8467262,0.181,12.944
2905.688363,4.350672043,50.60752688,219.4072581,0.181,12.944
2817.798428,5.442638889,56.03472222,199.3166667,0.181,12.944
3074.409152,14.06424731,44.78091398,244.1129032,0.181,12.944
3464.209981,21.35458333,37.57916667,305.2166667,0.181,12.944
3633.724076,22.26639785,49.41532258,272.4677419,0.181,12.944
3663.810039,22.61505376,42.75537634,222.2553763,0.181,12.944
3180.186842,18.45805556,53.5,225.0458333,0.181,12.944
2884.194569,8.881451613,54.77016129,233.7217742,0.181,12.944
2791.40949,6.096666667,42.07638889,217.4472222,0.181,12.944
3066.554187,0.197043011,48.17607527,224.5537634,0.181,12.944
1658.678336,1.691666667,37.93010753,204.0215054,0.752,12.071
1464.649145,0.061011905,51.19196429,181.8467262,0.752,12.071
1562.179427,4.350672043,50.60752688,219.4072581,0.752,12.071
1513.929737,5.442638889,56.03472222,199.3166667,0.752,12.071
1559.171657,14.06424731,44.78091398,244.1129032,0.752,12.071
1800.715847,21.35458333,37.57916667,305.2166667,0.752,12.071
1876.718549,22.26639785,49.41532258,272.4677419,0.752,12.071
1899.932441,22.61505376,42.75537634,222.2553763,0.752,12.071
1617.581043,18.45805556,53.5,225.0458333,0.752,12.071
1447.673026,8.881451613,54.77016129,233.7217742,0.752,12.071
1457.118,6.096666667,42.07638889,217.4472222,0.752,12.071
1755.70725,0.197043011,48.17607527,224.5537634,0.752,12.071
3098.536087,1.691666667,37.93010753,204.0215054,0.21,24.965
2708.589663,0.061011905,51.19196429,181.8467262,0.21,24.965
3031.879465,4.350672043,50.60752688,219.4072581,0.21,24.965
2928.910766,5.442638889,56.03472222,199.3166667,0.21,24.965
3210.041198,14.06424731,44.78091398,244.1129032,0.21,24.965
3606.07553,21.35458333,37.57916667,305.2166667,0.21,24.965
3770.579812,22.26639785,49.41532258,272.4677419,0.21,24.965
3815.93971,22.61505376,42.75537634,222.2553763,0.21,24.965
3309.60068,18.45805556,53.5,225.0458333,0.21,24.965
3004.675676,8.881451613,54.77016129,233.7217742,0.21,24.965
2909.852921,6.096666667,42.07638889,217.4472222,0.21,24.965
3174.461765,0.197043011,48.17607527,224.5537634,0.21,24.965
2012.851243,1.691666667,37.93010753,204.0215054,0.853,25.852
1770.696823,0.061011905,51.19196429,181.8467262,0.853,25.852
1920.743485,4.350672043,50.60752688,219.4072581,0.853,25.852
1854.429663,5.442638889,56.03472222,199.3166667,0.853,25.852
1960.662413,14.06424731,44.78091398,244.1129032,0.853,25.852
2234.803768,21.35458333,37.57916667,305.2166667,0.853,25.852
2321.304235,22.26639785,49.41532258,272.4677419,0.853,25.852
2362.615249,22.61505376,42.75537634,222.2553763,0.853,25.852
2021.931711,18.45805556,53.5,225.0458333,0.853,25.852
1820.547794,8.881451613,54.77016129,233.7217742,0.853,25.852
1810.433234,6.096666667,42.07638889,217.4472222,0.853,25.852
2091.060473,0.197043011,48.17607527,224.5537634,0.853,25.852
1793.386032,1.691666667,37.93010753,204.0215054,0.382,3.029
1570.028676,0.061011905,51.19196429,181.8467262,0.382,3.029
1691.765718,4.350672043,50.60752688,219.4072581,0.382,3.029
1651.623152,5.442638889,56.03472222,199.3166667,0.382,3.029
1710.087845,14.06424731,44.78091398,244.1129032,0.382,3.029
1967.375672,21.35458333,37.57916667,305.2166667,0.382,3.029
2058.439736,22.26639785,49.41532258,272.4677419,0.382,3.029
2071.000973,22.61505376,42.75537634,222.2553763,0.382,3.029
1779.02371,18.45805556,53.5,225.0458333,0.382,3.029
1598.174367,8.881451613,54.77016129,233.7217742,0.382,3.029
1591.615592,6.096666667,42.07638889,217.4472222,0.382,3.029
1891.586738,0.197043011,48.17607527,224.5537634,0.382,3.029